game_id,team_id,HoA,won,head_coach,goals,shots,hits,pim
2020020001,4,home,True,Alain Vigneault,6,27,31,6
2020020001,5,away,True,Mike Sullivan,3,34,23,6
2020020003,10,home,True,Sheldon Keefe,5,34,14,11
2020020003,8,away,True,Claude Julien,4,32,32,13
2020020002,14,home,True,Jon Cooper,5,33,16,6
2020020002,16,away,True,Jeremy Colliton,1,23,14,8
2020020004,22,home,False,Dave Tippett,3,31,18,4
2020020004,23,away,False,Travis Green,5,35,19,8
2020020005,21,home,False,Jared Bednar,1,27,21,4
2020020005,19,away,False,Craig Berube,4,32,20,8
2020020006,7,home,False,Ralph Krueger,4,26,20,9
2020020006,15,away,False,Peter Laviolette,6,28,19,11
2020020007,1,home,False,Lindy Ruff,2,22,26,10
2020020007,6,away,False,Bruce Cassidy,2,37,13,10
2020020008,3,home,False,David Quinn,0,24,24,18
2020020008,2,away,False,Barry Trotz,4,33,25,10
2020020010,17,home,False,Jeff Blashill,0,14,19,11
2020020010,12,away,False,Rod Brind'Amour,3,43,27,9
2020020011,18,home,True,John Hynes,3,35,16,4
2020020011,29,away,True,John Tortorella,1,30,18,6
2020020012,52,home,True,Paul Maurice,4,34,21,8
2020020012,20,away,True,Geoff Ward,3,26,22,10
2020020013,22,home,True,Dave Tippett,5,46,37,20
2020020013,23,away,True,Travis Green,2,40,24,18
2020020014,53,home,False,Rick Tocchet,3,37,21,8
2020020014,28,away,False,Bob Boughner,3,35,18,8
2020020015,54,home,True,Peter DeBoer,5,29,30,2
2020020015,24,away,True,Dallas Eakins,2,22,29,2
2020020016,26,home,False,Todd McLellan,3,34,18,12
2020020016,30,away,False,Dean Evason,4,27,22,8
2020020017,7,home,False,Ralph Krueger,1,31,15,0
2020020017,15,away,False,Peter Laviolette,2,21,27,10
2020020018,4,home,True,Alain Vigneault,5,20,25,10
2020020018,5,away,True,Mike Sullivan,2,33,31,12
2020020019,14,home,True,Jon Cooper,5,37,14,8
2020020019,16,away,True,Jeremy Colliton,2,37,8,6
2020020021,9,home,True,D.J. Smith,5,24,33,12
2020020021,10,away,True,Sheldon Keefe,3,23,12,22
2020020022,21,home,True,Jared Bednar,8,38,21,10
2020020022,19,away,True,Craig Berube,0,21,21,16
2020020023,1,home,True,Lindy Ruff,2,31,23,11
2020020023,6,away,True,Bruce Cassidy,1,28,15,13
2020020030,53,home,True,Rick Tocchet,5,26,22,12
2020020030,28,away,True,Bob Boughner,3,34,23,10
2020020024,3,home,True,David Quinn,5,32,22,8
2020020024,2,away,True,Barry Trotz,0,23,31,26
2020020025,17,home,True,Jeff Blashill,4,21,14,10
2020020025,12,away,True,Rod Brind'Amour,2,31,23,4
2020020027,9,home,False,D.J. Smith,2,19,30,8
