game_id,team_id,time_on_ice,pim,shots,saves,power_play_saves,short_handed_saves,goals_against,save_percentage
2000020001,21,3880,0.0,21,19,9,0,2,90.47619048
2000020001,25,3900,0.0,28,26,9,0,2,92.85714286
2000020002,9,3900,0.0,38,34,13,2,4,89.47368421
2000020002,6,3900,0.0,33,29,3,3,4,87.87878788
2000020003,16,3600,0.0,30,26,8,1,4,86.66666667
2000020003,7,2905,0.0,17,15,4,0,2,88.23529412
2000020003,7,695,0.0,4,4,2,0,0,100.0
2000020004,23,3560,0.0,32,27,5,4,5,84.375
2000020004,4,3591,0.0,29,26,3,2,3,89.65517241
2000020005,17,3595,0.0,21,18,8,2,3,85.71428571
2000020005,20,3542,0.0,28,24,3,6,4,85.71428571
2000020006,19,3597,0.0,20,16,4,1,4,80.0
2000020006,27,3600,0.0,33,32,5,0,1,96.96969697
2000020007,8,2101,0.0,21,18,3,4,3,85.71428571
2000020007,8,1499,0.0,13,8,0,1,5,61.53846154
2000020007,1,3600,0.0,30,26,8,1,4,86.66666667
2000020008,26,3600,0.0,20,19,5,1,1,95.0
2000020008,15,3600,0.0,31,27,9,0,4,87.09677419
2000020009,2,3897,0.0,24,21,5,1,3,87.5
2000020009,14,3890,0.0,36,33,9,5,3,91.66666667
2000020010,23,3740,0.0,24,21,5,3,3,87.5
2000020010,13,3735,0.0,21,17,4,5,4,80.95238095
2000020011,17,3521,0.0,29,27,5,1,2,93.10344828
2000020011,22,3600,0.0,34,33,6,1,1,97.05882353
2000020012,30,3550,0.0,39,36,5,1,3,92.30769231
2000020012,24,3600,0.0,36,35,11,2,1,97.22222222
2000020013,19,3596,0.0,19,18,6,0,1,94.73684211
2000020013,28,3593,0.0,29,25,11,3,4,86.20689655
2000020014,26,3531,2.0,23,19,3,0,4,82.60869565
2000020014,7,3597,0.0,22,19,4,0,3,86.36363636
2000020015,8,3538,0.0,18,16,4,1,2,88.88888889
2000020015,10,3597,0.0,26,26,9,2,0,100.0
2000020016,25,3591,0.0,19,17,5,1,2,89.47368421
2000020016,9,3600,0.0,24,23,9,1,1,95.83333333
2000020017,6,690,0.0,4,4,0,1,0,100.0
2000020017,6,2910,0.0,28,27,9,4,1,96.42857143
2000020017,4,952,0.0,6,6,1,0,0,100.0
2000020017,4,2648,2.0,19,14,4,1,5,73.68421053
2000020018,18,3600,0.0,26,25,0,0,1,96.15384615
2000020018,5,3582,0.0,32,30,0,0,2,93.75
2000020019,15,3894,0.0,27,24,8,0,3,88.88888889
2000020019,12,3900,0.0,28,25,4,2,3,89.28571429
2000020020,3,3596,0.0,28,27,8,0,1,96.42857143
2000020020,11,3522,0.0,28,26,7,4,2,92.85714286
2000020021,16,3600,0.0,21,18,6,0,3,85.71428571
2000020021,29,3521,0.0,25,20,6,3,5,80.0
2000020022,21,3900,0.0,21,20,4,0,1,95.23809524
2000020022,22,3900,0.0,26,25,6,0,1,96.15384615
2000020023,30,3597,0.0,27,23,11,0,4,85.18518519
2000020023,27,3504,0.0,22,21,5,0,1,95.45454545
2000020023,27,89,0.0,0,0,0,0,0,
2000020024,23,1533,0.0,4,4,0,0,0,100.0
2000020024,23,2067,0.0,12,8,1,2,4,66.66666667
2000020024,14,3594,0.0,41,36,8,1,5,87.80487805
2000020025,5,3600,0.0,22,21,0,0,1,95.45454545
2000020025,18,3558,0.0,40,38,0,0,2,95.0
2000020026,19,3591,0.0,25,24,3,4,1,96.0
2000020026,24,3600,0.0,40,35,13,2,5,87.5
2000020027,13,3540,0.0,22,18,4,0,4,81.81818182
2000020027,6,3594,0.0,31,29,8,4,2,93.5483871
2000020028,25,3600,0.0,31,30,0,1,1,96.77419355
2000020028,10,3552,0.0,23,20,1,0,3,86.95652174
2000020029,26,3588,0.0,28,27,7,0,1,96.42857143
2000020029,29,3600,0.0,39,32,9,4,7,82.05128205
2000020030,22,3549,0.0,22,18,3,1,4,81.81818182
2000020030,8,3600,0.0,18,16,2,1,2,88.88888889
2000020031,25,3594,4.0,22,17,4,0,5,77.27272727
2000020031,12,3600,0.0,21,19,6,0,2,90.47619048
2000020032,21,3594,0.0,30,29,13,2,1,96.66666667
2000020032,20,3583,0.0,19,16,3,3,3,84.21052632
2000020033,2,3535,2.0,33,30,8,0,3,90.90909091
2000020033,10,3600,0.0,20,18,6,1,2,90.0
2000020034,13,3714,0.0,26,20,2,0,6,76.92307692
2000020034,1,3715,0.0,21,16,1,0,5,76.19047619
2000020035,8,3499,0.0,32,29,4,3,3,90.625
2000020035,3,3594,0.0,29,28,13,0,1,96.55172414
2000020036,15,3900,0.0,30,27,13,0,3,90.0
2000020036,11,3900,0.0,24,21,1,2,3,87.5
2000020037,22,3600,0.0,36,33,6,0,3,91.66666667
2000020037,17,3494,0.0,25,21,4,0,4,84.0
2000020038,4,3898,0.0,22,19,2,1,3,86.36363636
2000020038,30,3900,0.0,39,36,8,3,3,92.30769231
2000020039,6,3689,0.0,30,28,5,3,2,93.33333333
2000020039,24,3723,0.0,28,25,9,2,3,89.28571429
2000020040,19,3874,0.0,25,21,6,0,4,84.0
2000020040,26,3900,0.0,31,27,3,2,4,87.09677419
2000020041,17,3600,0.0,23,23,6,1,0,100.0
2000020041,16,508,0.0,4,1,0,0,3,25.0
2000020041,16,3081,0.0,15,14,4,1,1,93.33333333
2000020042,4,3584,0.0,21,18,3,0,3,85.71428571
2000020042,25,3600,0.0,27,26,6,2,1,96.2962963
2000020043,29,3600,0.0,21,19,7,1,2,90.47619048
2000020043,20,3566,0.0,27,24,8,1,3,88.88888889
2000020044,21,3600,0.0,21,19,7,1,2,90.47619048
2000020044,23,3596,0.0,23,18,5,3,5,78.26086957
2000020045,27,3544,0.0,16,14,5,1,2,87.5
2000020045,28,3548,0.0,26,25,7,1,1,96.15384615
2000020045,28,52,0.0,0,0,0,0,0,
2000020046,1,3583,0.0,24,22,7,0,2,91.66666667
2000020046,9,3600,0.0,31,30,3,4,1,96.77419355
2000020047,14,3512,0.0,26,23,6,0,3,88.46153846
2000020047,5,3600,0.0,25,23,1,2,2,92.0
2000020048,12,3900,0.0,28,26,7,0,2,92.85714286
2000020048,13,3900,0.0,24,22,1,0,2,91.66666667
2000020049,30,3574,0.0,21,20,4,2,1,95.23809524
2000020049,19,3600,0.0,16,16,5,1,0,100.0
2000020050,15,3521,0.0,27,25,2,0,2,92.59259259
2000020050,18,3600,0.0,30,29,1,1,1,96.66666667
2000020051,7,3524,0.0,37,34,9,3,3,91.89189189
2000020051,22,3600,0.0,25,23,4,1,2,92.0
2000020052,6,2400,0.0,16,14,3,3,2,87.5
2000020052,6,1200,0.0,11,8,0,0,3,72.72727273
2000020052,26,3597,0.0,18,18,2,1,0,100.0
2000020053,9,3588,0.0,26,26,8,1,0,100.0
2000020053,10,3600,0.0,34,30,7,0,4,88.23529412
2000020054,16,3759,0.0,28,23,5,3,5,82.14285714
2000020054,8,3716,0.0,25,21,0,1,4,84.0
2000020055,24,2171,0.0,24,20,5,0,4,83.33333333
2000020055,24,1377,0.0,7,7,5,0,0,100.0
2000020055,1,3600,0.0,24,22,2,0,2,91.66666667
2000020056,20,3594,0.0,25,25,12,0,0,100.0
2000020056,2,3502,0.0,28,26,4,0,2,92.85714286
2000020057,3,583,0.0,2,2,0,0,0,100.0
2000020057,3,2952,0.0,33,25,10,0,8,75.75757576
2000020057,5,3592,0.0,25,19,6,1,6,76.0
2000020058,15,3600,0.0,20,17,5,0,3,85.0
2000020058,25,3574,0.0,12,12,1,1,0,100.0
2000020059,12,3527,0.0,34,32,3,2,2,94.11764706
2000020059,18,3579,0.0,24,23,7,0,1,95.83333333
2000020060,29,3600,0.0,33,30,9,1,3,90.90909091
2000020060,21,3572,0.0,15,14,3,4,1,93.33333333
2000020061,7,3600,2.0,32,28,6,1,4,87.5
2000020061,23,3600,0.0,27,27,4,3,0,100.0
2000020062,4,3545,0.0,30,25,7,3,5,83.33333333
2000020062,27,3600,0.0,36,33,12,1,3,91.66666667
2000020063,6,3596,0.0,30,26,8,0,4,86.66666667
2000020063,28,3600,0.0,23,21,4,1,2,91.30434783
2000020064,11,3600,0.0,31,26,13,0,5,83.87096774
2000020064,14,3599,0.0,22,20,4,1,2,90.90909091
2000020065,20,3600,0.0,30,28,8,5,2,93.33333333
2000020065,17,3492,0.0,37,33,8,2,4,89.18918919
2000020066,29,3525,0.0,31,29,5,0,2,93.5483871
2000020066,16,3600,0.0,16,15,2,0,1,93.75
2000020067,22,3600,0.0,28,25,7,1,3,89.28571429
2000020067,30,3548,0.0,26,21,2,3,5,80.76923077
2000020068,27,3600,0.0,35,30,8,0,5,85.71428571
2000020068,26,1774,0.0,10,8,0,0,2,80.0
