,game_id,player_id,team_id,time_on_ice,pim,even_strength_shots_against,saves_shots_against,power_play_shots_against,goals_against
0,2022040671,8476945,89,10:00,,7/9,7/9,0/0,2
1,2022040671,8477424,89,10:00,,11/13,11/13,0/0,2
2,2022040671,8480313,90,10:00,,4/7,4/7,0/0,3
3,2022040671,8479973,90,09:25,,4/7,4/7,0/0,3
4,2022040672,8476999,87,10:00,,4/7,4/7,0/0,3
5,2022040672,8476883,87,10:00,,10/13,10/13,0/0,3
6,2022040672,8478009,88,09:17,,8/13,8/13,0/0,5
7,2022040672,8478048,88,10:00,,5/9,5/9,0/0,4
8,2022040673,8476999,87,10:00,,6/6,6/6,0/0,0
9,2022040673,8476883,87,10:00,,11/16,11/16,0/0,5
10,2022040673,8476945,89,10:00,,7/11,7/11,0/0,4
11,2022040673,8477424,89,10:00,,11/14,11/14,0/0,3
12,2022021109,8470594,30,59:18,0.0,23/24,33/36,9/11,3
13,2022021109,8479292,15,56:23,0.0,30/35,35/40,5/5,5
14,2021020579,8482821,16,59:18,0.0,23/25,37/41,13/14,4
15,2021020579,8474593,20,60:00,0.0,25/26,30/31,4/4,1
16,2021020586,8476999,6,60:00,0.0,21/24,23/26,0/0,3
17,2021020586,8478406,1,58:49,0.0,27/32,29/34,1/1,5
18,2021020588,8477968,17,59:51,0.0,18/20,24/26,5/5,2
19,2021020588,8478499,28,20:00,0.0,5/7,5/7,0/0,2
20,2021020588,8473503,28,40:00,0.0,14/16,20/24,4/4,4
21,2021020589,8475683,13,60:00,0.0,42/44,47/49,4/4,2
22,2021020589,8474593,20,60:00,0.0,34/38,39/45,3/5,6
23,2021020590,8476914,29,60:00,0.0,23/27,29/36,5/8,7
24,2021020590,8476883,14,60:00,0.0,20/22,20/22,0/0,2
25,2021020591,8470594,16,62:38,0.0,25/29,29/33,4/4,4
26,2021020591,8475311,21,62:38,0.0,26/27,28/31,2/4,3
27,2021020592,8478872,53,58:18,0.0,28/29,46/48,18/19,2
28,2021020592,8476945,52,60:00,0.0,23/24,26/27,2/2,1
29,2021020593,8480313,54,55:44,0.0,21/24,23/26,1/1,3
30,2021020593,8477424,18,60:00,0.0,36/38,41/43,5/5,2
31,2021020594,8476434,24,60:00,0.0,24/25,28/29,0/0,1
32,2021020594,8479394,4,57:26,0.0,23/25,26/29,3/4,3
33,2021020596,8475789,10,59:28,0.0,25/27,28/30,2/2,2
34,2021020596,8469608,22,58:40,0.0,27/29,29/32,2/3,3
35,2021020597,8479193,5,33:49,0.0,12/14,13/16,1/2,3
36,2021020597,8477465,5,25:55,0.0,12/12,13/13,0/0,0
37,2021020597,8476412,19,58:43,0.0,31/34,36/41,5/7,5
38,2021020599,8480280,6,58:39,0.0,14/15,27/30,11/13,3
39,2021020599,8478039,30,59:16,0.0,27/27,36/38,8/10,2
