,game_id,team_id,HoA,won,settled_in,head_coach,goals,shots,hits,pim,blocks,faceoffWinningPctg,powerPlayConversion
0,2021040661,90,home,False,OT,Peter DeBoer,4,15.0,0,0,1,46.7,0/0
1,2021040661,88,away,True,OT,Rod Brind'Amour,6,26.0,0,0,1,53.3,0/0
2,2021040662,89,home,True,OT,Jared Bednar,8,23.0,0,0,4,57.9,0/0
3,2021040662,87,away,False,OT,Andrew Brunette,5,18.0,0,0,0,42.1,0/0
4,2021040663,88,home,True,OT,Rod Brind'Amour,5,18.0,0,0,0,53.3,0/0
5,2021040663,89,away,False,OT,Jared Bednar,3,24.0,0,0,2,46.7,0/0
6,2021010001,10,home,True,OT,Sheldon Keefe,4,32.0,24,9,8,46.8,1/4
7,2021010001,8,away,False,OT,Dominique Ducharme,1,17.0,32,23,8,53.2,0/2
8,2021010002,19,home,True,REG,Craig Berube,6,30.0,15,2,13,53.2,0/1
9,2021010002,30,away,False,REG,Dean Evason,2,31.0,17,2,9,46.8,0/1
10,2021010003,13,home,True,OT,Joel Quenneville,5,36.0,18,15,11,53.6,1/6
11,2021010003,18,away,False,OT,John Hynes,4,30.0,22,29,15,46.4,1/4
12,2021010004,15,home,False,OT,Peter Laviolette,2,31.0,21,14,14,49.3,0/4
13,2021010004,6,away,True,OT,Bruce Cassidy,3,23.0,19,10,17,50.7,0/3
14,2021010005,13,home,True,REG,Joel Quenneville,3,30.0,23,8,8,52.9,2/5
15,2021010005,18,away,False,REG,John Hynes,1,30.0,36,10,18,47.1,0/4
16,2021010006,3,home,False,REG,Gerard Gallant,0,28.0,23,21,8,53.7,0/3
17,2021010006,2,away,True,REG,Barry Trotz,4,23.0,21,8,10,46.3,1/4
18,2021010007,52,home,False,OT,Paul Maurice,2,33.0,24,20,10,52.0,1/5
19,2021010007,9,away,True,OT,D.J. Smith,3,27.0,20,35,10,48.0,0/4
20,2021010008,24,home,True,REG,Dallas Eakins,6,28.0,22,20,16,47.4,1/2
21,2021010008,28,away,False,REG,Bob Boughner,3,27.0,10,14,10,52.6,1/5
22,2021010009,20,home,False,REG,Darryl Sutter,0,15.0,30,14,10,40.4,0/2
23,2021010009,22,away,True,REG,Dave Tippett,4,49.0,9,4,8,59.6,1/7
24,2021010010,55,home,True,REG,Dave Hakstol,5,,0,2,0,0.0,3/5
25,2021010010,23,away,False,REG,Travis Green,3,,0,10,0,0.0,1/1
26,2021010011,54,home,False,REG,Peter DeBoer,2,23.0,23,6,8,50.8,1/3
27,2021010011,28,away,True,REG,Bob Boughner,4,28.0,30,6,13,49.2,2/3
28,2021010012,8,home,True,REG,Dominique Ducharme,5,21.0,27,11,20,51.0,3/5
29,2021010012,10,away,False,REG,Sheldon Keefe,2,37.0,17,15,9,49.0,0/3
30,2021010013,5,home,False,REG,Mike Sullivan,0,28.0,21,6,7,62.3,0/5
31,2021010013,29,away,True,REG,Brad Larsen,3,23.0,19,10,19,37.7,0/3
32,2021010014,19,home,True,OT,Craig Berube,2,29.0,13,8,7,46.2,1/3
33,2021010014,25,away,False,OT,Rick Bowness,1,24.0,16,8,18,53.8,0/3
34,2021010015,53,home,True,REG,André Tourigny,2,24.0,20,13,15,49.1,0/5
35,2021010015,26,away,False,REG,Todd McLellan,1,36.0,16,15,12,50.9,0/4
36,2021010016,23,home,True,REG,Travis Green,4,,0,6,0,0.0,2/3
37,2021010016,20,away,False,REG,Darryl Sutter,2,,0,6,0,0.0,1/3
38,2021010017,3,home,True,REG,Gerard Gallant,3,21.0,37,10,11,55.8,0/5
39,2021010017,6,away,False,REG,Bruce Cassidy,2,28.0,20,10,11,44.2,0/5
40,2021010018,4,home,False,OT,Alain Vigneault,2,27.0,26,6,18,67.2,0/3
41,2021010018,2,away,True,OT,Barry Trotz,3,29.0,23,6,16,32.8,1/3
42,2021010019,29,home,False,OT,Brad Larsen,4,32.0,24,4,10,57.6,1/4
43,2021010019,7,away,True,OT,Don Granato,5,29.0,13,8,18,42.4,0/2
44,2021010020,12,home,True,REG,Rod Brind'Amour,3,32.0,21,6,7,71.6,2/3
45,2021010020,14,away,False,REG,Jon Cooper,1,37.0,34,6,17,28.4,0/3
46,2021010021,22,home,True,REG,Dave Tippett,6,33.0,32,8,8,47.5,2/5
47,2021010021,55,away,False,REG,Dave Hakstol,0,34.0,26,10,12,52.5,0/4
48,2021010022,54,home,True,REG,Peter DeBoer,4,29.0,27,14,14,56.6,2/4
49,2021010022,21,away,False,REG,Jared Bednar,3,22.0,27,8,9,43.4,0/7
50,2021010023,28,home,False,REG,Bob Boughner,3,38.0,22,25,13,70.8,0/5
51,2021010023,26,away,True,REG,Todd McLellan,4,33.0,15,27,19,29.2,1/4
52,2021010024,15,home,False,REG,Peter Laviolette,4,27.0,18,10,8,66.1,2/4
53,2021010024,1,away,True,REG,Lindy Ruff,5,23.0,18,8,13,33.9,1/5
54,2021010025,29,home,True,REG,Brad Larsen,5,34.0,6,9,12,63.5,1/3
55,2021010025,19,away,False,REG,Craig Berube,2,38.0,20,11,9,36.5,1/2
56,2021010026,9,home,False,REG,D.J. Smith,0,19.0,30,34,6,46.7,0/5
57,2021010026,10,away,True,REG,Sheldon Keefe,4,32.0,24,20,8,53.3,3/7
58,2021010027,25,home,False,OT,Rick Bowness,3,38.0,14,4,10,63.9,1/3
59,2021010027,13,away,True,OT,Joel Quenneville,4,28.0,9,6,10,36.1,1/2
60,2021010028,52,home,True,REG,Paul Maurice,5,28.0,24,4,18,53.3,0/2
61,2021010028,22,away,False,REG,Dave Tippett,1,18.0,15,4,17,46.7,0/2
62,2021010029,16,home,False,OT,Jeremy Colliton,3,39.0,34,2,12,49.3,0/5
63,2021010029,17,away,True,OT,Jeff Blashill,4,33.0,29,10,16,50.7,0/1
64,2021010030,20,home,False,OT,Darryl Sutter,3,22.0,21,6,13,55.0,0/4
65,2021010030,55,away,True,OT,Dave Hakstol,4,21.0,13,10,16,45.0,0/2
66,2021010031,24,home,False,REG,Dallas Eakins,1,30.0,33,10,10,49.0,0/8
67,2021010031,53,away,True,REG,André Tourigny,4,25.0,32,30,11,51.0,1/3
